Technique,Description,Tags,Fields,Program
Els Grups de Recerca,Veieu la secció Aprenentatge basat en situacions problematitzades (ABP).,"aplicació, aprenentatge, basat, cohesió, col·laboració, cooperació, decisió, dinàmica de grup, grups, problematitzades, problemes, recerca, reptes, secció, situacions, solució, treball en equip","Resolució de problemes i Reptes, Cohesió i Cooperació",
Els quatre savis,"Es tracta d'una simplificació de la tècnica del trencaclosques.

1. El mestre/a selecciona quatre participants del grup que dominin un determinat tema, habilitat o procediment (que siguin “savis” en una determinada cosa). Se'ls demana que es preparin bé, ja que hauran d'ensenyar què saben als seus companys i companyes de tot el grup.
1. Un dia s'organitza una sessió, durant la qual els alumnes i les alumnes (excepte els que exerceixen el paper de “savi”) estaran distribuïts en equips esporàdics de quatre membres cadascun.
1. A la primera fase de la sessió cada membre de cada equip haurà d'acudir a un dels “4 savis” perquè, juntament amb els components dels altres equips que han acudit al mateix “savi”, aquest els expliqui o els ensenyi el que sap.
1. Després, a la segona fase de la sessió, cada alumne torna al seu equip d'origen, i cadascú haurà d'explicar o ensenyar a la resta dels seus companys o companyes de l'equip allò que els respectius “savis” els han ensenyat. D'aquesta manera, a cada equip de base s'intercanvien allò que cadascú, per separat, ha après del “savi” corresponent.

Font: Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.

## Exemple
Per exemple, imagineu que es vol fer una activitat sobre l'ús dels pronoms febles en català. Es podrien seleccionar quatre estudiants que considerin que ja dominen aquest tema i se'ls demana que es preparin per explicar-ho als altres. Després, es dividiria el grup en equips de quatre estudiants i un alumne de cada grup aniria a veure un dels ""savis"" per a rebre instruccions sobre l'ús dels pronoms febles. Després de la primera fase, cada estudiant tornaria al seu equip i explicaria als seus companys el que ha après del ""savi"" que ha visitat. Així, tots els estudiants haurien après sobre l'ús dels pronoms febles gràcies a les explicacions dels diferents ""savis"".","aula, cohesió, col·laboració, comunicació, cooperació, creativitat, dinàmica de grup, equip, estudiants, expressió, grup, originalitat, presentació, quatre, savi, savis, treball en equip, tècnica, visual","Cohesió i Cooperació, Comunicació i Creativitat",
Equip-parella-individual,"Aquesta tècnica es basa en la retirada progressiva de suport.

1. Els alumnes reben tres problemes de dificultat similar.
1. El primer el resolen en equips de quatre.
1. El segon, en equips de dos.
1. El darrer individual.
1. Finalment, comparen els resultats amb la resta del grup.

Si es considera necessari en les passes 3 i 4, poden demanar ajuda a l'altra parella o la seva parella, respectivament.

Font:  *Team-Pair-Solo, Cuseu*, 2002  en Grup de recerca sobre aprenentatge entre iguals. (2016).","aprenentatge, cohesió, col·laboració, cooperació, dinàmica de grup, equip, equips, grup, individual, parella, problemes, treball en equip, tècnica",Cohesió i Cooperació,
Equips d'oients,"Agrupament Petit grup

Objectius

- Afavorir l'atenció i la concentració.
- Generar implicació en el desenvolupament dels continguts.
- Augmentar el nivell de processament de la informació.

## Desenvolupament

 Els passos a seguir són:

1. Dividir els alumnes en quatre equips, i assignar-los les tasques següents.

   1. **Interrogar**: Després de l'exposició, cal formular almenys dues preguntes sobre el material tractat.
   1. **Aprovar**: Després de l'exposició, indiqueu amb quins punts van estar d'acord o van trobar útils i per què.
   1. **Desaprovar**: Després de l'exposició, comentar amb què van discrepar (o van trobar inútil) i explicar per què.
   1. **Donar exemples**: Després de la conferència, brindar aplicacions o exemples específics del material.
1. Presentar l'exposició. En acabar, esperar uns moments perquè els equips puguin completar les seves tasques.
1. Demanar a cada grup que qüestioni, aprovi, etc.
1. A la sessió següent, els grups intercanvien els rols.

Consells: 

- Abans de començar la classe, feu preguntes que seran respostes durant l'exposició. Demaneu als alumnes que estiguin alertes per trobar aquestes respostes.
- Distribuir els diferents rols entre els integrants de cada equip. Consensuar dins del grup la proposta final.

Font: Varas, M. & Zariquiey, F. (2011). Técnicas formales e informales de aprendizaje cooperativo.

","activació, anàlisi, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comprensió, comunicació, coneixements previs, continguts, cooperació, creativitat, després, dinàmica de grup, equip, equips, exposició, expressió, feedback, grup, idees prèvies, informació, lectura, oients, originalitat, presentació, recordar, repassar, resum, rols, seguiment, sintesi, treball en equip, visual","Activació de coneixements previs, Processament i Anàlisi de la informació, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
Flipped Classroom (Aula invertida),"L'aula invertida és una metodologia on es transfereix l'explicació teòrica del professor fora de la classe, cap a la casa de l'alumne. 

A l'aula invertida es transfereix l’explicació teòrica del professor fora de la classe, cap a la casa de l’alumne. Aquesta explicació sol ser en format vídeo, preferentment de curta durada per evitar la manca d'interès.

D'aquesta manera s'allibera part del temps dedicat a les explicacions, que es podrà utilitzar en altres tasques.

Quan es comença es recomana utilitzar els materials de què es disposava amb antelació (documents, presentacions, etc.) i de mica en mica anar elaborant els nous vídeos i materials.

Per consolidar aquest procés, s'utilitzen formularis de preguntes per controlar allò que l'alumne pot haver après o no pel seu compte.

De vegades es revisen aquests qüestionaris abans de la classe presencial per poder enfocar-la directament cap als punts problemàtics que pugui tenir per a una part dels alumnes.

Atès que les explicacions es fan fora de l'horari escolar, aquest temps ara s'aprofita per a la resolució de dubtes i realització de feines, cosa que abans es feia moltes vegades a casa.



## Metodologia de l'aula invertida


## Model gràfic

Elaboració pròpia

## Model tecnològic per *Flipped Classroom*


Font: Basso-Aránguiz  et al. (2018). Propuesta de modelo tecnológico para Flipped Classroom (T-FliC) en educación superior.

El següent vídeo, encara que una mica llarg, explica amb força detall en què consisteix, tant en els fonaments pedagògics com en el desenvolupament.



Selecció de programari pel Flipped classroom.","activació, aplicació, aula, autoavaluació, avaluació formativa, classe, classroom, coavaluació, coneixements previs, construcció, decisió, descobriment, explicació, feedback, flipped, hipòtesi, idees prèvies, invertida, investigació, problemes, professor, recordar, repassar, reptes, resolució, seguiment, solució, teorització","Activació de coneixements previs, Construcció de coneixement, Resolució de problemes i Reptes, Avaluació Formativa i Feedback",
Genera hipòtesis,"La rutina de pensament ""Genera hipòtesis"" pot ser molt útil per ajudar als alumnes a reflexionar sobre els conceptes o fets que estan estudiant i a posar a prova les seves idees amb dades o evidències. Aquesta rutina es pot aplicar tant al principi d'un tema com durant el desenvolupament d'un tema, ja que es pot fer servir com a punt de partida per començar a explorar un nou concepte o com a eina per aprofundir en la comprensió d'un concepte ja estudiat.
:

    Professor:

1. Presenta als alumnes un concepte o un fet que estiguin estudiant o que vulguis que investiguin.
1. Demana als alumnes que formulin hipòtesis o conjectures sobre aquest concepte o fet. Pot ser útil fer-los reflexionar sobre els diferents punts de vista o perspectives que hi ha al respecte.
1. Demana als alumnes que escriguin les seves hipòtesis de forma clara i concisa.

    Alumne:

1. Reflexiona sobre el concepte o el fet que estàs estudiant.
1. Formula una o més hipòtesis sobre aquest concepte o fet. Intenta expressar-les de forma clara i concisa.
1. Cerca dades o evidències que puguin ajudar a posar a prova les teves hipòtesis. Pot ser útil fer servir fonts d'informació diverses o demanar ajut al professor o als companys.
1. Analitza les dades o evidències que has trobat i reflexiona sobre si les teves hipòtesis s'han confirmat o han quedat desacreditades.
1. Redacta un resum dels resultats de la teva investigació i explica si les teves hipòtesis s'han confirmat o han quedat desacreditades.

Aquesta es pot fer tant de forma individual com en grup, depenent de les necessitats i objectius de l'aprenentatge.

Si es fa de forma individual, els alumnes poden fer servir aquesta rutina per reflexionar sobre els conceptes o fets que estan estudiant i posar a prova les seves idees amb dades o evidències. Això els pot ajudar a comprendre millor els conceptes i a desenvolupar habilitats de pensament crític i reflexió.

Si es fa en grup, poden fer servir aquesta rutina per debatre i discutir les seves idees amb els companys. Això els pot ajudar a comprendre millor les diferents perspectives i a desenvolupar habilitats de comunicació i treball en equip. També els pot ajudar a enriquir les seves investigacions amb les idees i la informació dels altres.","anàlisi, aplicació, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comprensió, comunicació, concepte, construcció, cooperació, creativitat, decisió, descobriment, dinàmica de grup, expressió, feedback, genera, grup, hipòtesi, hipòtesis, individual, informació, investigació, lectura, metacognició, originalitat, pensament, pensament crític, perspectiva, presentació, problemes, professor, reflexió, reptes, resum, rutina, rutina de pensament, seguiment, sintesi, solució, teorització, treball en equip, visual","Processament i Anàlisi de la informació, Construcció de coneixement, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
Genera solucions,"La rutina de pensament ""Genera solucions"" és una eina molt útil per ajudar als alumnes a desenvolupar habilitats d**'anàlisi i resolució de problemes**. Aquesta rutina es pot fer servir en diferents moments de l'aprenentatge, sigui al començament, durant o al final d'un tema.

Aquí tenim els passos per fer servir aquesta rutina de forma efectiva:

    Part del professor:

1. Presenta als alumnes un problema o situació a resoldre. Pot ser un problema relacionat amb el tema que esteu estudiant, o una situació nova que els permeti aplicar els coneixements adquirits.

1. Demana als alumnes que generen possibles solucions al problema o situació. Pots fer-los escriure les solucions o fer-les verbalment.

1. Demana als alumnes que valoren les diferents solucions que han generat. Pots fer-los fer servir criteris específics per fer aquesta valoració, com ara la viabilitat, la practicabilitat o l'impacte.

1. Demana als alumnes que seleccionin la millor solució entre les que han valorat.

    Part dels alumnes:

1. Escolta atentament el problema o situació que se t'ha presentat.

1. Genera possibles solucions al problema o situació. Pots fer-ho de forma individual o en grup.

1. Valora les diferents solucions que has generat, fent servir els criteris establerts pel professor.

1. Selecciona la millor solució entre les que has valorat.","alumnes, aplicació, cohesió, col·laboració, cooperació, decisió, dinàmica de grup, genera, metacognició, pensament, pensament crític, perspectiva, problemes, professor, reflexió, reptes, resolució, rutina, rutina de pensament, solucions, solució, treball en equip","Resolució de problemes i Reptes, Pensament Crític i Metacognició, Cohesió i Cooperació",
GPT Maria: La IA experta en metodologies actives,"Hem creat un GPT (un GPT és un ChatGPT amb les seves pròpies instruccions i documentació), anomenat Maria, amb tot el coneixement d'aquesta web i el llibre de Pujolàs i Lago El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.

Pots demanar-li tècniques per aplicar en situacions concretes, idees per fer a classe i qualsevol dubte que tinguis en relació amb les metodologies actives.

# Parla amb Maria","actives, aplicació, aprender, aula, cohesió, col·laboració, cooperació, cooperar, decisió, dinàmica de grup, experta, maria, metodologies, para, problemes, reptes, solució, treball en equip","Resolució de problemes i Reptes, Cohesió i Cooperació",
Intercanviar dificultats,"Després d'una explicació o d'un tema tractat prèviament a classe, El docent demana als alumnes que formulin una dificultat o pregunta en una targeta.

1. Els alumnes treballen en equips per a trobar les respostes a les preguntes o problemes que han formulat.
1. Els alumnes escriuen les respostes al revers de la targeta.
1. Els equips intercanvien les targetes amb un altre equip.
1. Els equips intenten resoldre els problemes o preguntes que hi ha escrits en les targetes rebudes.
1. Si han aconseguit una resposta correcta, passen a la següent; si no, revisen el procés per introduir les correccions necessàries.




Font: CRA Los Olivos. (2017). Técnicas de aprendizaje cooperativo.

## Exemple
Per exemple, imagineu que es vol fer una activitat sobre el cicle de l'aigua amb la tècnica de l'intercanvi de dificultats. Després de l'exposició del tema, el docent demanaria als alumnes que pensessin en una dificultat o pregunta relacionada amb el cicle de l'aigua i la formulessin en una targeta. Alguns exemples de dificultats o preguntes que els alumnes podrien formular podrien ser:

- Com es produeix la transpiració?
- Quins són els beneficis de la pluja?
- Com es produeix l'evaporació?
- Quines són les conseqüències dels incendis forestals en el cicle de l'aigua?

Després, els alumnes treballarien en equips per a trobar les respostes a les preguntes o problemes que han formulat. Una vegada han trobat les respostes, les escriurien al revers de la targeta. Finalment, els equips intercanviarien les targetes amb un altre equip i intentarien resoldre els problemes o preguntes que hi ha escrits. Si han aconseguit una resposta correcta, passarien a la següent; si no, revisarien el procés per introduir les correccions necessàries.

Així, amb aquesta tècnica, tots els estudiants haurien tingut l'oportunitat de reflexionar sobre el tema del cicle de l'aigua i de treballar en equip per a trobar les respostes a les seves dificultats. A més, haurien pogut revisar i corregir els seus processos de resolució dels problemes relacionats amb aquest tema.","alumnes, aplicació, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comunicació, cooperació, creativitat, decisió, dificultats, dinàmica de grup, docent, equip, estudiants, expressió, feedback, intercanviar, metacognició, originalitat, pensament crític, perspectiva, presentació, problemes, reflexió, reptes, rutina de pensament, seguiment, solució, treball en equip, tècnica, visual","Resolució de problemes i Reptes, Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
Joc de rol,"Aquesta tècnica consisteix a fer que els participants es posin en el lloc d'un personatge o rol específic, i desenvolupin una activitat o situació en què hagin de prendre decisions i resoldre problemes. Aquesta tècnica promou la col·laboració i la comunicació entre els membres del grup, ja que han de treballar junts per a resoldre els problemes del joc de rol. A més, també pot fomentar la reflexió i la comprensió sobre diferents temes o conceptes, perquè els participants han de posar-se en el lloc d'un personatge i entendre les seves motivacions i decisions.

Un exemple de la tècnica del joc de rol podria ser el següent:

Imaginarem que el grup està estudiant la Segona Guerra Mundial. Els participants poden dividir-se en diferents rols, com ara líders polítics, militars o ciutadans comuns dels diferents països implicats en la guerra. Després, el grup haurà de resoldre una sèrie de problemes o dilemes relacionats amb la guerra, com ara quines decisions prendria cada rol en determinades situacions o quines conseqüències tindrien aquestes decisions. Així, els participants hauran de treballar junts per a resoldre els problemes del joc de rol i alhora reflexionar sobre els diferents punts de vista i les motivacions dels diferents personatges.","anàlisi, aplicació, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comprensió, comunicació, cooperació, creativitat, decisió, diferents, dinàmica de grup, expressió, feedback, grup, informació, lectura, metacognició, originalitat, pensament crític, perspectiva, presentació, problemes, reflexió, reptes, resum, rols, rutina de pensament, seguiment, sintesi, solució, treball en equip, tècnica, visual","Processament i Anàlisi de la informació, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
L'entrevista,"Aquesta tècnica permet un coneixement més profund entre els companys i companyes.

1. Es formen parelles o grups de 3 de forma aleatòria (vegeu, per exemple, Grups esporàdics amb flippity).

1. En primer lloc, consensuen una entrevista sobre les seves habilitats, aptituds i defectes que els permeti conèixer-se millor entre ells.

1. Després, per torns, es fan l'entrevista uns als altres.

1. En la segona fase, cada alumne escriu una frase que resumeixi com és el seu company.

1. Per finalitzar cada alumne llegeix la frase a la resta del grup.

Adaptat de Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.
","alumne, anàlisi, aprender, aula, cohesió, col·laboració, comprensió, cooperació, dinàmica de grup, entrevista, grup, grups, informació, lectura, parelles, resum, sintesi, treball en equip, tècnica","Processament i Anàlisi de la informació, Cohesió i Cooperació",
La brúixola (punts cardinals),"Aquesta tècnica es fa servir per introduir un tema, una idea o una proposta. Es tracta de fer servir els punts cardinals per donar l'opinió.

- E: Entusiasme. Què us entusiasma d'aquesta idea o proposta? Quin avantatge té?
- O: Obstacle/Preocupació. Què trobes com a obstacle o preocupació per aquesta idea o proposta? Quin és el seu desavantatge?
- N: Necessitat de Saber. Què més necessites saber o descobrir sobre aquesta idea o proposta? Quina informació addicional us ajudaria a avaluar aquestes idees o propostes?
- S: Suggeriments o Postura per Avançar. Quin és el teu suggeriment, postura o opinió actual pel que fa a aquesta idea o proposta? Quin ha de ser el pas següent per avaluar aquesta idea o proposta?




Adaptat de: Project Zero. (2020). Puntos de la Brújula

## Exemple

El professor planteja la següent idea o proposta: ""L'escola està pensant en implementar un nou sistema de recollida de residus per reduir la generació de brossa i millorar la gestió dels recursos. Què en penseu?""

1. **Emoció**. Els alumnes exposen el seu entusiasme pel que fa a aquesta idea o proposta. Alguns poden dir que és una molt bona idea perquè ajudaria a reduir la quantitat de residus que es generen i a millorar la gestió dels recursos.
1. **Objeccions**. Exposen els obstacles o preocupacions que han trobat amb aquesta idea o proposta. Alguns poden dir que és una molt bona idea, però que és necessari fer una campanya de conscienciació perquè tots sàpiguen com funciona el nou sistema de recollida de residus i es comprometin a seguir-lo.
1. **Necessitats**. Exposen què més necessitarien saber o descobrir sobre aquesta idea o proposta per poder avaluar-la de forma més precisa. Alguns poden demanar més informació sobre quins tipus de residus es poden reciclar i com es farà la recollida, altres poden demanar informació sobre quins recursos es necessitarien per implementar aquest nou sistema, o bé poden demanar exemples d'altres escoles que ja hagin implementat un sistema de recollida de residus similar.
1. **Suggeriments**. Els     Els estudiants donen els seus suggeriments o posicions per avançar amb aquesta idea o proposta i exposen quin ha de ser el pas següent per avaluar-la. Alguns poden dir que és necessari fer una reunió amb tots els estudiants per explicar-los el nou sistema de recollida de residus i demanar-los el seu compromís per seguir-lo. Altres poden dir que és necessari fer una enquesta per veure quin grau de coneixement hi ha sobre reciclatge i com es podria millorar.


","anàlisi, autoavaluació, avaluació formativa, brúixola, cardinals, coavaluació, comprensió, comunicació, construcció, creativitat, descobriment, estudiants, expressió, feedback, hipòtesi, idea, informació, investigació, lectura, originalitat, presentació, professor, proposta, punts, residus, resum, seguiment, sintesi, teorització, tècnica, visual","Processament i Anàlisi de la informació, Construcció de coneixement, Avaluació Formativa i Feedback, Comunicació i Creativitat",
La caixa,"Aquesta tècnica es coneix també amb el nom de **la maleta**.

## Objectiu

Conèixer trets de personalitat característics de l'alumnat que forma part del grup classe

## Desenvolupament

- Un dia el professor o la professora es presenten a la classe amb una caixa adornada de forma personalitzada, amb uns quants objectes dins representatius d'un tret de la seva personalitat: aficions, habilitats, defectes, manies, etc. Els va traient i els ensenya a tota la classe, explicant què representa cada objecte:
  - “aquesta rajola significa que m'agrada molt la xocolata, i, en general, tots els dolços”,
  - “aquest tornavís el tinc perquè ho necessito per arreglar les coses que es fan malbé a casa”...

- A continuació convida el grup a fer el mateix, indicant-los que un dia hauran de portar a classe la seva pròpia caixa amb “els seus objectes” (tres o quatre, els que es determinin). Aquest dia mostraran els objectes als seus companys i companyes i els explicaran què significa, en l'àmbit personal, cadascun.


Conclusions

El fet de donar a conèixer alguns trets de la nostra personalitat genera confiança mútua i desenvolupa la empatia.

Font: ECO. (2007). Dinámicas para hacer grupo.","caixa, classe, cohesió, col·laboració, comunicació, conèixer, cooperació, creativitat, dinàmica de grup, expressió, grup, objectes, originalitat, personalitat, presentació, professor, treball en equip, tècnica, visual","Cohesió i Cooperació, Comunicació i Creativitat",
La taula rodona,"La taula rodona és una tècnica de treball en grup que es basa en la participació activa de tots els membres del grup. Es realitza reunint els participants al voltant d'una taula, de manera que tothom pugui veure i escoltar els altres. Després, es fa una pregunta o es presenta un problema al grup, i cada persona té l'oportunitat de donar la seva opinió o de fer una aportació.

El propòsit de la taula rodona és promoure la comunicació i el diàleg en grup, de manera que tothom pugui expressar les seves idees i opinions de manera respectuosa. A més, es treballa de manera col·laborativa per a arribar a un acord o a una solució comuna, que tingui en compte les idees i les perspectives de tots els membres del grup.

La taula rodona és una tècnica útil per a millorar la capacitat de comunicació i de negociació dels participants, ja que han de saber expressar les seves idees de manera clara i concisa, i estar disposats a escoltar i tenir en compte les idees dels altres. També pot ser útil per a millorar la resolució de conflictes en grup, perquè promou la discussió i el diàleg per a arribar a un acord o a una solució satisfactòria per a tots.

Per portar-la a terme podem fer el següent:

1. Establiu una llista de preguntes o problemes que voleu discutir en la taula rodona.

1. Inviteu als participants a asseure's al voltant de la taula, de manera que tothom pugui veure i escoltar els altres.

1. Inicieu la taula rodona fent la primera pregunta o presentant el primer problema.

1. Demaneu a cada persona que expressi la seva opinió o faci una aportació sobre la pregunta o problema.

1. Fomenteu el diàleg i la discussió en grup, però recordeu que és important que tothom tingui l'oportunitat de parlar.

1. Escolteu atentament les idees i les opinions dels altres, i intenteu tenir en compte les seves perspectives.

1. Treballeu de manera col·laborativa per a arribar a un acord o a una solució comuna, que tingui en compte les idees i les perspectives de tots els membres del grup.

1. Finalment, resumiu els acords i les solucions acordades en la taula rodona, i assigneu les responsabilitats per a portar-les a terme.

Aplicació de la tècnica:

","anàlisi, aplicació, cohesió, col·laboració, comprensió, comunicació, cooperació, creativitat, decisió, dinàmica de grup, expressió, grup, idees, informació, lectura, manera, metacognició, originalitat, pensament crític, perspectiva, presentació, problemes, reflexió, reptes, resolució, resum, rodona, rutina de pensament, sintesi, solució, taula, treball en equip, tècnica, visual","Processament i Anàlisi de la informació, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Cohesió i Cooperació, Comunicació i Creativitat",
Lectura compartida,"Extracte de l'article de Santiago Moll Aprendizaje cooperativo. La lectura compartida:

L'activitat consta de quatre rondes de tres passes cadascuna.

1. El grup classe es divideix en grups de quatre alumnes (alumne 1, alumne 2, alumne 3, alumne 4)

1. L'alumne 1 llegeix en veu alta un paràgraf, text o comentari als alumnes 2, 3 i 4.

1. Els alumnes 2, 3 i 4 han d'escoltar de manera activa allò que l'alumne 1 estigui llegint en aquell moment.

1. Un cop l'alumne 1 ha finalitzat la lectura, cedeix el testimoni a l'alumne 2 que serà l'encarregat d'explicar, comentar o resumir el que ha llegit l'alumne 1. Es pot seguir l'ordre de les agulles del rellotge.

1. Els alumnes 3 i 4, que també han escoltat amb atenció, decidiran si allò que s'ha explicat, comentat o resumit per l'alumne 2 és correcte o no. En cas de no estar d'acord donaran la vostra opinió personal i l'exposaran per a la valoració posterior. Els alumnes 2 i 3 també podran donar la seva opinió després d'haver escoltat els alumnes 3 i 4.

1. El company 2 és ara l'encarregat de llegir el fragment o text següent i l'alumne 3 l'encarregat d'explicar-lo.

1. Els alumnes 4 i 1 són els que decideixen si està ben explicat o no. Els alumnes 2 i 3 també poden opinar després del que han dit els alumnes 4 i 1.

1. El procés es repeteix fins que tots els alumnes han llegit, explicat i valorat cadascuna de les parts del text.

---

Explicació de la tècnica (versió simplificada):



Aplicació de la tècnica juntament amb 1-2-4:


","alumne, alumnes, anàlisi, cohesió, col·laboració, compartida, comprensió, comunicació, cooperació, creativitat, dinàmica de grup, encarregat, expressió, grup, informació, lectura, originalitat, presentació, resum, sintesi, text, treball en equip, tècnica, visual","Processament i Anàlisi de la informació, Cohesió i Cooperació, Comunicació i Creativitat",
Lectura fantasma,"La lectura fantasma és una tècnica que es pot fer amb qualsevol tipus de text i que té com a objectiu millorar la comprensió lectora i l'expressió oral dels estudiants. A més, aquesta tècnica fomenta l'escolta activa i la respecte entre els membres del grup.

Es tracta de llegir un text entre varis, quan un acaba comença un altre de forma voluntària.

1. El primer lector (pot ser el professor/a) comença a llegir un text.
1. Arribats a un punt, para de llegir i altre alumne ho comença a fer de forma espontània (pot succeir que comenci més d'un a la vegada o cap).
1. Quan li sembla, aquest alumne para també de llegir i comença un altre. D'aquesta forma es va llegint el text entre tots.

És una tècnica que convé fer més d'una vegada, ja que milloren notablement amb el temps.","anàlisi, autoavaluació, avaluació formativa, coavaluació, cohesió, col·laboració, comprensió, comunicació, cooperació, creativitat, dinàmica de grup, estudiants, expressió, fantasma, feedback, grup, informació, lectura, llegir, originalitat, presentació, professor, resum, seguiment, sintesi, text, treball en equip, tècnica, visual","Processament i Anàlisi de la informació, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
Llapis al centre,"MIDA DE L'EQUIP: Equips base. 

OBJECTIUS: Resoldre problemes, repassar el que han après, debatre i argumentar, compartir i consensuar opinions. 

PASSOS: 

1. Els llapis de tots es col·loquen al centre de la taula: només es pot parlar i escoltar, no escriure. 
1. El professor reparteix a cada equip un full amb tantes preguntes o exercicis com a membres tingui el grup. 
1. Cada un dels membres serà responsable d'una de les qüestions, és a dir, serà l'encarregat de llegir-la en veu alta i coordinar les intervencions de la resta dels companys és a l'hora d'aportar la possible resposta. 
1. Cadascun dels membres de l'equip ha de donar una resposta, argumentant les seves raons. Entre tots debaten i decideixen quina és la resposta correcta. 
1. Quan s'arriba al consens, procedim a agafar el llapis que era al centre de la taula (d'aquí li ve el nom a la tècnica) i a realitzar l'exercici (tots alhora, el que ens garanteix la simultaneïtat). 
1. Un cop resolt el primer exercici, serà torn per al company de la dreta, que es convertirà en l'encarregat de dirigir la resolució del segon exercici i així successivament. 

OBSERVACIONS I CONSELLS PRÀCTICS: 
Es pot combinar amb l'estructura Nombres iguals junts. 

És molt útil per promoure la participació igualitària de tots i cada un dels membres, ja que tots han de participar com a coordinadors del procés i a més han d'intervenir en la producció de respostes per a totes i cadascuna de les qüestions plantejades (participació igualitària i interacció simultània). 

Serà molt important tenir en compte i aplicar aquí un dels principis bàsics reguladors de la feina en equip cooperatiu: l'economia de recursos. Aquest concepte fa referència al fet que no li donem una fitxa amb les preguntes a cada un dels alumnes, sinó que vam lliurar només un full per equip de base. Aquest fet provoca una millora considerable en el procés d'escolta activa, ja que els alumnes han d'estar pendents de coordinador de cada qüestió, perquè en cas contrari no podran dur a feliç terme la tasca. A més, evita que hi hagi alumnes que per motiu de velocitat d'execució s'anticipin a la resta de l'equip en la realització de tasques.


Font: Pérez, M. (2015). Dinámicas cooperativas.


","aplicació, autoavaluació, avaluació formativa, centre, coavaluació, cohesió, col·laboració, cooperació, decisió, dinàmica de grup, equip, feedback, grup, llapis, problemes, professor, reptes, resolució, seguiment, solució, treball en equip, tècnica","Resolució de problemes i Reptes, Avaluació Formativa i Feedback, Cohesió i Cooperació",
"M'agrada, no m'agrada","Aquesta tècnica permet el coneixement del grup.

Traçar una línia imaginària a la classe i sol·licitar als participants que es posin drets a un dels costats de la mateixa (suposem, a l'esquerra). Qui coordini demanarà als que els agradi alguna cosa (per exemple, ballar) que es posin a l'altre costat. Haurà d'anar dient coses que els poden agradar o no (algunes a la majoria i altres a uns pocs), per exemple si els agrada cantar, anar al dentista, etc.

D'aquesta forma hi haurà vegades que uns estaran amb la majoria del grup, però altres vegades no.

Un cop realitzat, convidarà els participants que acordin amb aquell que també passin cap a aquest costat, i oferirà la possibilitat d'acostar-se a la línia, però sense creuar-la, als que acordin en part.

Després compartim i posem en
comú la dinàmica:

- Com em sento manifestant els meus sentiments?
- A vegades podem veure que altres persones se senten com nosaltres?
- Com ens fa sentir quan veiem que altres persones senten el mateix?

Fonts: 

- Dipsalut. (2016). Dinàmiques curtes de cohesió de grup i acceptació.
- Dinámicas grupales. (2021). Dinámica Me Gusta y No Me Gusta.","agrada, altres, cohesió, col·laboració, construcció, cooperació, descobriment, dinàmica de grup, grup, hipòtesi, investigació, línia, participants, posin, teorització, treball en equip, tècnica, vegades","Construcció de coneixement, Cohesió i Cooperació",
Mapa conceptual a quatre bandes,"En acabar un tema, com a síntesi final, cada equip pot elaborar un mapa conceptual o un esquema que resumeixi tot el que s'ha treballat a classe sobre el tema en qüestió.

1. El mestre o la mestra guiarà els estudiants a l'hora de decidir entre tots quins apartats s'hauran d'incloure en el mapa o esquema.
1. Dins de cada equip de base es repartiran les diferents parts del mapa o esquema entre els components de l'equip, de manera que cada estudiant haurà de portar pensat de casa seva (o farà a classe de forma individual o per parelles) la part que li ha tocat.
1. Després posaran en comú la part que ha preparat cadascun, repassaran la coherència del mapa o de l'esquema que resulti i, si cal, el retocaran abans de donar-ho per bo i fer-ne una còpia per a cadascú, que us servirà com a material d'estudi.

Font: Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.

---

**Explicació de la tècnica:**



**Aplicació de la tècnica:**

","anàlisi, bandes, comprensió, comunicació, conceptual, creativitat, equip, estudiants, expressió, individual, informació, lectura, mapa, originalitat, presentació, quatre, resum, sintesi, tècnica, visual","Processament i Anàlisi de la informació, Comunicació i Creativitat",
