Technique,Description,Tags,Fields,Program,Resumen
"El Rompecabezas (""Jigsaw"")","Esta técnica es especialmente útil para las áreas de conocimiento en las que los contenidos son susceptibles de ser """"fragmentados"""" en diferentes partes (por ejemplo: literatura, ciencias sociales, ciencias de la naturaleza...). En síntesis, el desarrollo o puesta en práctica de esta técnica conlleva los siguientes pasos: 

- Dividimos la clase en grupos heterogéneos de 4 o 5 miembros cada uno. 
- El material objeto de estudio se fracciona en tantas partes como miembros tiene el equipo, de manera que cada uno de sus miembros recibe un fragmento de la información del tema que, en conjunto, están estudiando todos los equipos, y no recibe la que se ha puesto a disposición de sus compañeros para preparar su propio """"subtema"" "".  
- Cada miembro del equipo prepara su parte a partir de la información que le facilita el profesor o la que él mismo ha podido encontrar.  
- Después, con los integrantes de los otros equipos que han estudiado el mismo subtema, forma un """"grup d'experts"" "", donde intercambian la información, profundizan en los conceptos claves, construyen esquemas y mapas conceptuales, clarifican las dudas planteadas, etc.; podríamos decir que llegan a ser expertos de su sección.  
- A continuación, cada uno de ellos vuelve a su equipo de origen y se responsabiliza de explicar al grupo la parte que ha preparado.  
Así pues, todos los alumnos se necesitan los unos a los otros y se ven """"obligados"" "" a cooperar, porque cada uno de ellos dispone solo de una pieza del rompecabezas y sus compañeros de equipo tienen las otras, imprescindibles para culminar con éxito la tarea propuesta: el dominio global de un tema objeto de estudio previamente fragmentado.

Flippity tiene una función especial para esta técnica. En la opción *Random Name Picker*, una vez formados los grupos, veremos una pieza de rompecabezas. Esto hará que nos aparezcan grupos formados por un miembro de cada uno de los equipos iniciales (los grupos de expertos). Si volvemos a pulsar el mismo botón, aparecerán los grupos del principio.
Formación de grupos con 3 miembros cada uno:



Al pulsar el botón aparecerán los “grupos de expertos”, con un miembro de cada uno de los grupos anteriores.




---
Fuente: Pérez, M. (2015). Dinámicas cooperativas.

---

**Explicación de la técnica:**



**Aplicación de la técnica:**","rompecabezas, expertos, cooperación, lectura, síntesis","Cohesión y Cooperación, Procesamiento y Análisis de la información",,"Técnica cooperativa en la que cada alumno trabaja una parte de un contenido y luego la enseña a su equipo. Sirve para fomentar interdependencia positiva, responsabilidad individual, comprensión de textos y síntesis compartida."
El Saco de Dudas,"1. Cada componente del equipo escribe en un tercio de folio (con el nombre y el nombre de vuestro equipo) una duda que os haya surgido en el estudio de un tema determinado.
1. A continuación, pasados unos minutos para que todo el mundo haya tenido tiempo de escribir su duda, la expone al resto de su equipo para que, si alguien puede responder su duda, lo haga. Si alguien sabe responderla, el alumno o la alumna que la tenía anota la respuesta en el cuaderno. Si nadie del equipo sabe responder su duda, la entregan al maestro o maestra que la coloca dentro del “saco de dudas” del grupo clase.
1. En la segunda parte de la sesión, el maestro o la maestra sacan una duda del “saco de dudas” y pide si alguien de otro equipo sabe resolverla. Si no hay nadie que lo sepa, resuelve la duda el maestro/a. 

Esta estructura es especialmente útil para poner de relieve la interacción (en este caso, en forma de solidaridad o ayuda mutua) que tiene que haber en todo el grupo de clase, no solo dentro de un mismo equipo, ya que los diferentes equipos se ayudan a la hora de resolver las dudas que un equipo concreto no ha sabido resolver.


Fuente: Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.","dudas, ayuda mutua, evaluación formativa, cooperación, feedback","Resolución de problemas y Retos, Evaluación Formativa y Feedback, Cohesión y Cooperación",,"Estructura en la que el alumnado escribe dudas, intenta resolverlas en equipo y deposita las no resueltas en un saco común. Sirve para detectar dificultades, promover ayuda mutua y orientar la explicación docente."
El semáforo,"Esta rutina permite realizar una reflexión crítica sobre lo que se ha entendido en una explicación o tema. Se realiza mediante tres columnas que pueden rellenar individualmente o en parejas:

- **Verde**: ¿qué he entendido?
- **Amarilla**: ¿qué me genera dudas?
- **Roja**: ¿qué no he entendido?

Se puede utilizar una plantilla similar a esta:","comprensión, dudas, metacognición, autoevaluación, feedback","Evaluación Formativa y Feedback, Pensamiento Crítico y Metacognición",,"Rutina de autoevaluación en tres niveles: lo entendido, lo dudoso y lo no comprendido. Sirve para hacer visibles dificultades, regular el aprendizaje, orientar aclaraciones y favorecer la reflexión sobre la comprensión."
Equipo-pareja-individual,"Esta técnica se basa en la retirada progresiva de apoyo.

1. Los alumnos reciben tres problemas de dificultad similar.
1. El primero lo resuelven en equipos de cuatro.
1. El segundo, en equipos de dos.
1. El último individual.
1. Finalmente, comparan los resultados con el resto del grupo.

Si se considera necesario en los pasos 3 y 4, pueden pedir ayuda a la otra pareja o a su pareja, respectivamente.

Fuente:  *Team-Pair-Solo, Cuseu*, 2002  en Grup de recerca sobre aprenentatge entre iguals. (2016).","retirada de apoyo, cooperación, parejas, resolución de problemas, autonomía",Cohesión y Cooperación,,"Técnica basada en retirar progresivamente el apoyo: primero se resuelve en equipo, después en pareja y finalmente de forma individual. Sirve para desarrollar autonomía, consolidar procedimientos y mejorar la seguridad ante problemas similares."
Equipos de oyentes,"Agrupamiento Pequeño grupo

Objetivos

- Favorecer la atención y la concentración.
- Generar implicación en el desarrollo de los contenidos.
- Aumentar el nivel de procesamiento de la información.

## Desarrollo

 Los pasos a seguir son:

1. Dividir a los alumnos en cuatro equipos, y asignarles las tareas siguientes.

   1. **Interrogar**: Después de la exposición, hay que formular al menos dos preguntas sobre el material tratado.
   1. **Aprobar**: Después de la exposición, indicad con qué puntos estuvieron de acuerdo o encontraron útiles y por qué.
   1. **Desaprobar**: Después de la exposición, comentar con qué discreparon (o encontraron inútil) y explicar por qué.
   1. **Dar ejemplos**: Después de la conferencia, brindar aplicaciones o ejemplos específicos del material.
1. Presentar la exposición. Al acabar, esperar unos momentos para que los equipos puedan completar sus tareas.
1. Pedir a cada grupo que cuestione, apruebe, etc.
1. En la sesión siguiente, los grupos intercambian los roles.

Consejos: 

- Antes de empezar la clase, haced preguntas que serán respondidas durante la exposición. Pedid a los alumnos que estén alertas para encontrar estas respuestas.
- Distribuir los diferentes roles entre los integrantes de cada equipo. Consensuar dentro del grupo la propuesta final.

Fuente: Varas, M. & Zariquiey, F. (2011). Técnicas formales e informales de aprendizaje cooperativo. ","escucha activa, roles, preguntas, análisis, cooperación","Activación de conocimientos previos, Procesamiento y Análisis de la información, Evaluación Formativa y Feedback, Cohesión y Cooperación, Comunicación y Creatividad",,"Estructura en la que los equipos asumen roles de escucha durante una exposición, como preguntar, aprobar, discrepar o dar ejemplos. Sirve para aumentar la atención, procesar información y generar participación activa durante explicaciones."
Escalera de metacognición,"## Descripción
Rutina que guía al alumnado para pensar sobre su propio aprendizaje mediante una secuencia de preguntas. Permite pasar de la identificación de lo aprendido a la transferencia a nuevas situaciones.

## Funcionamiento
1. **¿Qué he aprendido?** El alumno identifica conocimientos o habilidades trabajadas.
2. **¿Cómo lo he aprendido?** Describe estrategias, recursos o ayudas utilizadas.
3. **¿Para qué me ha servido?** Relaciona el aprendizaje con una utilidad concreta.
4. **¿Dónde puedo aplicarlo?** Propone nuevas situaciones donde usar lo aprendido.

## Objetivos
- Favorecer la conciencia del propio aprendizaje.
- Mejorar la transferencia de conocimientos.
- Desarrollar autorregulación y pensamiento reflexivo.

## Ejemplo
Al terminar una práctica de laboratorio, los alumnos completan la escalera indicando qué han aprendido sobre el diseño experimental, cómo han controlado variables y en qué otros experimentos podrían aplicar ese procedimiento.","metacognición, transferencia, reflexión, autoevaluación, aplicación","Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación",,"Rutina metacognitiva que guía al alumnado con preguntas sobre qué ha aprendido, cómo, para qué y dónde puede aplicarlo. Sirve para favorecer la reflexión, la transferencia, la autorregulación y la conciencia del propio aprendizaje."
Estaciones de aprendizaje,"## Descripción
Organización del aula en diferentes estaciones o espacios de trabajo. En cada estación el alumnado realiza una tarea distinta relacionada con el mismo contenido o competencia. Permite combinar actividades manipulativas, digitales, de lectura, práctica guiada o evaluación.

## Funcionamiento
1. El profesor diseña varias estaciones con tareas claras y tiempos definidos.
2. Los alumnos trabajan en pequeños grupos y rotan por las estaciones.
3. Cada estación puede tener materiales, instrucciones y productos distintos.
4. El profesor acompaña, resuelve dudas y recoge evidencias.
5. Al final se realiza una puesta en común o una reflexión individual.

## Objetivos
- Diversificar actividades y ritmos de trabajo.
- Favorecer la autonomía y la cooperación.
- Recoger evidencias variadas de aprendizaje.

## Ejemplo
En biología, una estación contiene observación de muestras, otra análisis de imágenes, otra resolución de preguntas y otra elaboración de un esquema. Todos los grupos pasan por todas las estaciones.","estaciones, rotación, autonomía, cooperación, evaluación formativa","Construcción de conocimiento, Procesamiento y Análisis de la información, Cohesión y Cooperación, Evaluación Formativa y Retroalimentación",,"Organización del aula en estaciones con tareas diferentes relacionadas con un mismo contenido. Sirve para diversificar actividades, atender ritmos distintos, promover cooperación, recoger evidencias variadas y favorecer la autonomía del alumnado."
Fishbowl (Pecera),"## Descripción
Técnica de discusión en la que un pequeño grupo dialoga en el centro mientras el resto observa con una tarea concreta. Después se intercambian los papeles o se abre una reflexión general.

## Funcionamiento
1. Se prepara una pregunta, dilema o problema para debatir.
2. Un grupo reducido se sienta en el centro y conversa.
3. El resto observa la calidad de los argumentos, la participación o las ideas principales.
4. Tras un tiempo, algunos observadores entran en la pecera y otros salen.
5. Se cierra con una síntesis de ideas y una valoración del proceso.

## Objetivos
- Mejorar la calidad del debate.
- Diferenciar participación, escucha y observación crítica.
- Favorecer la coevaluación de la comunicación oral.

## Ejemplo
En ciencias sociales, el grupo central debate si una ciudad debería limitar el tráfico privado. Los observadores anotan argumentos basados en datos, preguntas relevantes y momentos en los que se escucha o no a los demás.","debate, observación, escucha activa, coevaluación, argumentación","Comunicación y Creatividad, Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación",,"Técnica de discusión en la que un pequeño grupo dialoga mientras el resto observa con una tarea concreta. Sirve para mejorar la calidad del debate, la escucha, la argumentación y la coevaluación de la comunicación oral."
Flipped Classroom (Aula invertida),"El aula invertida es una metodología donde se transfiere la explicación teórica del profesor fuera de la clase, hacia la casa del alumno. 

En el aula invertida se transfiere la explicación teórica del profesor fuera de la clase, hacia la casa del alumno. Esta explicación suele ser en formato vídeo, preferentemente de corta duración para evitar la falta de interés.

De esta manera se libera parte del tiempo dedicado a las explicaciones, que se podrá utilizar en otras tareas.

Cuando se empieza se recomienda utilizar los materiales de los que se disponía con antelación (documentos, presentaciones, etc.) y poco a poco ir elaborando los nuevos vídeos y materiales.

Para consolidar este proceso, se utilizan formularios de preguntas para controlar lo que el alumno puede haber aprendido o no por su cuenta.

A veces se revisan estos cuestionarios antes de la clase presencial para poder enfocarla directamente hacia los puntos problemáticos que pueda tener para una parte de los alumnos.

Dado que las explicaciones se hacen fuera del horario escolar, este tiempo ahora se aprovecha para la resolución de dudas y realización de trabajos, cosa que antes se hacía muchas veces en casa.



## Metodología del aula invertida


## Modelo gráfico

Elaboración propia

## Modelo tecnológico para *Flipped Classroom*


Fuente: Basso-Aránguiz  et al. (2018). Propuesta de modelo tecnológico para Flipped Classroom (T-FliC) en educación superior.

El siguiente vídeo, aunque un poco largo, explica con bastante detalle en qué consiste, tanto en los fundamentos pedagógicos como en el desarrollo.



Selección de software para el Flipped classroom.","aula invertida, autonomía, conocimientos previos, feedback, aplicación","Activación de conocimientos previos, Construcción de conocimiento, Resolución de problemas y Retos, Evaluación Formativa y Feedback",,"Metodología en la que la explicación teórica se trabaja fuera del aula y el tiempo de clase se dedica a dudas y actividades. Sirve para favorecer la autonomía, ajustar la enseñanza y dedicar la sesión presencial a aplicar y resolver problemas."
Gallery Walk (Paseo por la galería),"## Descripción
Técnica para la exposición y revisión de trabajos en grupo.

## Funcionamiento
1. Los equipos cuelgan sus trabajos (pósters, mapas, etc.) en las paredes del aula.
2. Los grupos rotan por las diferentes estaciones como si estuvieran en una galería de arte.
3. En cada estación, discuten el trabajo del compañero y dejan preguntas o feedback constructivo (normalmente en post-its).
4. Los autores vuelven a su póster y revisan el feedback recibido.

## Objetivos
Fomentar la evaluación entre iguales y la comunicación visual.","galería, coevaluación, feedback, comunicación visual, cooperación","Comunicación y Creatividad, Evaluación Formativa y Retroalimentación, Procesamiento y Análisis de la información",,"Técnica en la que los equipos exponen sus trabajos y los demás rotan para observarlos y dejar comentarios. Sirve para fomentar la coevaluación, el feedback constructivo, la comunicación visual y la revisión de producciones."
Genera hipótesis,"La rutina de pensamiento """"Genera hipótesis"" "" puede ser muy útil para ayudar a los alumnos a reflexionar sobre los conceptos o hechos que están estudiando y a poner a prueba sus ideas con datos o evidencias. Esta rutina se puede aplicar tanto al principio de un tema como durante el desarrollo de un tema, ya que se puede utilizar como punto de partida para empezar a explorar un nuevo concepto o como herramienta para profundizar en la comprensión de un concepto ya estudiado.
:

    Profesor:

1. Presenta a los alumnos un concepto o un hecho que estén estudiando o que quieras que investiguen.
1. Pide a los alumnos que formulen hipótesis o conjeturas sobre este concepto o hecho. Puede ser útil hacerles reflexionar sobre los diferentes puntos de vista o perspectivas que hay al respecto.
1. Pide a los alumnos que escriban sus hipótesis de forma clara y concisa.

    Alumno:

1. Reflexiona sobre el concepto o el hecho que estás estudiando.
1. Formula una o más hipótesis sobre este concepto o hecho. Intenta expresarlas de forma clara y concisa.
1. Busca datos o evidencias que puedan ayudar a poner a prueba tus hipótesis. Puede ser útil utilizar fuentes de información diversas o pedir ayuda al profesor o a los compañeros.
1. Analiza los datos o evidencias que has encontrado y reflexiona sobre si tus hipótesis se han confirmado o han quedado desacreditadas.
1. Redacta un resumen de los resultados de tu investigación y explica si tus hipótesis se han confirmado o han quedado desacreditadas.

Esta se puede realizar tanto de forma individual como en grupo, dependiendo de las necesidades y objetivos del aprendizaje.

Si se realiza de forma individual, los alumnos pueden utilizar esta rutina para reflexionar sobre los conceptos o hechos que están estudiando y poner a prueba sus ideas con datos o evidencias. Esto les puede ayudar a comprender mejor los conceptos y a desarrollar habilidades de pensamiento crítico y reflexión.

Si se realiza en grupo, pueden utilizar esta rutina para debatir y discutir sus ideas con los compañeros. Esto les puede ayudar a comprender mejor las diferentes perspectivas y a desarrollar habilidades de comunicación y trabajo en equipo. También les puede ayudar a enriquecer sus investigaciones con las ideas y la información de los demás.","hipótesis, evidencias, investigación, pensamiento crítico, reflexión","Procesamiento y Análisis de la información, Construcción de conocimiento, Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Evaluación Formativa y Feedback, Cohesión y Cooperación, Comunicación y Creatividad",,"Rutina en la que el alumnado formula hipótesis sobre un hecho o concepto y busca evidencias para contrastarlas. Sirve para desarrollar pensamiento crítico, investigación, argumentación y reflexión sobre la validez de las propias ideas."
Genera soluciones,"La rutina de pensamiento """"Genera soluciones"" "" es una herramienta muy útil para ayudar a los alumnos a desarrollar habilidades de **análisis y resolución de problemas**. Esta rutina se puede utilizar en diferentes momentos del aprendizaje, ya sea al comienzo, durante o al final de un tema.

Aquí tenemos los pasos para utilizar esta rutina de forma efectiva:

    Parte del profesor:

1. Presenta a los alumnos un problema o situación a resolver. Puede ser un problema relacionado con el tema que estáis estudiando, o una situación nueva que les permita aplicar los conocimientos adquiridos.

1. Pide a los alumnos que generen posibles soluciones al problema o situación. Puedes hacerles escribir las soluciones o darlas verbalmente.

1. Pide a los alumnos que valoren las diferentes soluciones que han generado. Puedes hacerles utilizar criterios específicos para realizar esta valoración, como la viabilidad, la practicabilidad o el impacto.

1. Pide a los alumnos que seleccionen la mejor solución entre las que han valorado.

    Parte de los alumnos:

1. Escucha atentamente el problema o situación que se te ha presentado.

1. Genera posibles soluciones al problema o situación. Puedes hacerlo de forma individual o en grupo.

1. Valora las diferentes soluciones que has generado, utilizando los criterios establecidos por el profesor.

1. Selecciona la mejor solución entre las que has valorado.","soluciones, resolución de problemas, toma de decisiones, pensamiento crítico, cooperación","Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Cohesión y Cooperación",,"Rutina en la que el alumnado propone, valora y selecciona soluciones ante una situación o problema. Sirve para desarrollar análisis, toma de decisiones, pensamiento crítico y cooperación en la búsqueda de respuestas viables."
GPT Maria: La IA experta en metodologías activas,"Hemos creado un GPT (un GPT es un ChatGPT con sus propias instrucciones y documentación), llamado Maria, con todo el conocimiento de esta web y el libro de Pujolàs y Lago El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.

Puedes pedirle técnicas para aplicar en situaciones concretas, ideas para hacer en clase y cualquier duda que tengas en relación con las metodologías activas.

# Habla con Maria","metodologías activas, recomendador, IA, cooperación, resolución de problemas","Resolución de problemas y Retos, Cohesión y Cooperación",,"Recurso informativo que presenta un GPT experto en metodologías activas. Sirve para ofrecer apoyo en la elección de técnicas, ideas de aplicación en el aula y respuestas a dudas sobre aprendizaje cooperativo y metodologías activas."
Graffiti Cooperativo,"## Descripción
Lluvia de ideas rotativa por escrito.

## Funcionamiento
1. Se reparten diferentes hojas de papel grande a cada equipo, cada una con un título o pregunta diferente.
2. Cada grupo escribe sus ideas sobre el tema durante un tiempo limitado.
3. A la señal, los papeles rotan al siguiente grupo.
4. El nuevo grupo lee lo que han puesto los anteriores y añade nuevas ideas o matiza las existentes.

## Objetivos
Generar una gran cantidad de ideas de forma colaborativa y rápida.","lluvia de ideas, cooperación, creatividad, síntesis, rotación","Construcción de conocimiento, Comunicación y Creatividad, Procesamiento y Análisis de la información",,"Dinámica cooperativa de lluvia de ideas escrita y rotativa. Sirve para generar muchas aportaciones en poco tiempo, enriquecer ideas con las de otros grupos y construir una síntesis colectiva."
Intercambiar dificultades,"Después de una explicación o de un tema tratado previamente en clase, el docente pide a los alumnos que formulen una dificultad o pregunta en una tarjeta.

1. Los alumnos trabajan en equipos para encontrar las respuestas a las preguntas o problemas que han formulado.
1. Los alumnos escriben las respuestas al reverso de la tarjeta.
1. Los equipos intercambian las tarjetas con otro equipo.
1. Los equipos intentan resolver los problemas o preguntas que hay escritos en las tarjetas recibidas.
1. Si han conseguido una respuesta correcta, pasan a la siguiente; si no, revisan el proceso para introducir las correcciones necesarias.




Fuente: CRA Los Olivos. (2017). Técnicas de aprendizaje cooperativo.

## Ejemplo
Por ejemplo, imaginad que se quiere realizar una actividad sobre el ciclo del agua con la técnica del intercambio de dificultades. Después de la exposición del tema, el docente pediría a los alumnos que pensaran en una dificultad o pregunta relacionada con el ciclo del agua y la formularan en una tarjeta. Algunos ejemplos de dificultades o preguntas que los alumnos podrían formular podrían ser:

- ¿Cómo se produce la transpiración?
- ¿Cuáles son los beneficios de la lluvia?
- ¿Cómo se produce la evaporación?
- ¿Cuáles son las consecuencias de los incendios forestales en el ciclo del agua?

Después, los alumnos trabajarían en equipos para encontrar las respuestas a las preguntas o problemas que han formulado. Una vez han encontrado las respuestas, las escribirían al reverso de la tarjeta. Finalmente, los equipos intercambiarían las tarjetas con otro equipo e intentarían resolver los problemas o preguntas que hay escritos. Si han conseguido una respuesta correcta, pasarían a la siguiente; si no, revisarían el proceso para introducir las correcciones necesarias.

Así, con esta técnica, todos los estudiantes habrían tenido la oportunidad de reflexionar sobre el tema del ciclo del agua y de trabajar en equipo para encontrar las respuestas a sus dificultades. Además, habrían podido revisar y corregir sus procesos de resolución de los problemas relacionados con este tema.","dificultades, resolución de problemas, coevaluación, feedback, cooperación","Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Evaluación Formativa y Feedback, Cohesión y Cooperación, Comunicación y Creatividad",,"Técnica en la que el alumnado formula dificultades o preguntas, las resuelve en equipo e intercambia tarjetas con otros equipos. Sirve para detectar problemas de comprensión, fomentar la cooperación y practicar la revisión de respuestas."
Juego de rol,"Esta técnica consiste en hacer que los participantes se pongan en el lugar de un personaje o rol específico, y desarrollen una actividad o situación en la que tengan que tomar decisiones y resolver problemas. Esta técnica promueve la colaboración y la comunicación entre los miembros del grupo, ya que tienen que trabajar juntos para resolver los problemas del juego de rol. Además, también puede fomentar la reflexión y la comprensión sobre diferentes temas o conceptos, porque los participantes tienen que ponerse en el lugar de un personaje y entender sus motivaciones y decisiones.

Un ejemplo de la técnica del juego de rol podría ser el siguiente:

Imaginaremos que el grupo está estudiando la Segunda Guerra Mundial. Los participantes pueden dividirse en diferentes roles, como líderes políticos, militares o ciudadanos comunes de los diferentes países implicados en la guerra. Después, el grupo tendrá que resolver una serie de problemas o dilemas relacionados con la guerra, como qué decisiones tomaría cada rol en determinadas situaciones o qué consecuencias tendrían estas decisiones. Así, los participantes tendrán que trabajar juntos para resolver los problemas del juego de rol y a la vez reflexionar sobre los diferentes puntos de vista y las motivaciones de los diferentes personajes.","rol, perspectiva, toma de decisiones, comunicación, resolución de problemas","Procesamiento y Análisis de la información, Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Evaluación Formativa y Feedback, Cohesión y Cooperación, Comunicación y Creatividad",,"Técnica en la que el alumnado adopta un rol o personaje para afrontar una situación. Sirve para desarrollar empatía, comunicación, comprensión de perspectivas, toma de decisiones y resolución de problemas en contextos simulados."
"KWL (Sé, Quiero saber, He aprendido)","## Descripción
Rutina que organiza el aprendizaje en tres momentos: lo que el alumnado sabe, lo que quiere saber y lo que ha aprendido. Ayuda a activar conocimientos previos, formular preguntas y revisar el progreso al final de la actividad o unidad.

## Funcionamiento
1. Antes de empezar, los alumnos completan la columna **Sé** con ideas previas.
2. Después escriben en **Quiero saber** las preguntas que les gustaría responder.
3. Durante la actividad o al final, completan **He aprendido** con los aprendizajes logrados.
4. El grupo revisa qué preguntas han sido respondidas y cuáles quedan abiertas.

## Objetivos
- Activar conocimientos previos.
- Transformar la curiosidad en preguntas de trabajo.
- Favorecer la metacognición y la síntesis final.

## Ejemplo
Antes de estudiar los ecosistemas, los alumnos escriben qué saben sobre cadenas tróficas, qué preguntas tienen sobre las relaciones entre organismos y, al final, qué han aprendido sobre redes alimentarias y equilibrio ecológico.","conocimientos previos, preguntas, metacognición, síntesis, seguimiento","Activación de conocimientos previos, Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación",,"Rutina en tres momentos: lo que el alumnado sabe, lo que quiere saber y lo que ha aprendido. Sirve para activar conocimientos previos, formular preguntas, orientar el aprendizaje y revisar el progreso al finalizar."
La brújula (puntos cardinales),"Esta técnica se utiliza para introducir un tema, una idea o una propuesta. Se trata de utilizar los puntos cardinales para dar la opinión.

- E: Entusiasmo. ¿Qué os entusiasma de esta idea o propuesta? ¿Qué ventaja tiene?
- O: Obstáculo/Preocupación. ¿Qué encuentras como obstáculo o preocupación para esta idea o propuesta? ¿Cuál es su desventaja?
- N: Necesidad de Saber. ¿Qué más necesitas saber o descubrir sobre esta idea o propuesta? ¿Qué información adicional os ayudaría a evaluar estas ideas o propuestas?
- S: Sugerencias o Postura para Avanzar. ¿Cuál es tu sugerencia, postura u opinión actual con respecto a esta idea o propuesta? ¿Cuál debe ser el paso siguiente para evaluar esta idea o propuesta?




Adaptado de: Project Zero. (2020). Puntos de la Brújula

## Ejemplo

El profesor plantea la siguiente idea o propuesta: """"La escuela está pensando en implementar un nuevo sistema de recogida de residuos para reducir la generación de basura y mejorar la gestión de los recursos. ¿Qué os parece?"" ""

1. **Emoción**. Los alumnos exponen su entusiasmo con respecto a esta idea o propuesta. Algunos pueden decir que es una muy buena idea porque ayudaría a reducir la cantidad de residuos que se generan y a mejorar la gestión de los recursos.
1. **Objeciones**. Exponen los obstáculos o preocupaciones que han encontrado con esta idea o propuesta. Algunos pueden decir que es una muy buena idea, pero que es necesario hacer una campaña de concienciación para que todos sepan cómo funciona el nuevo sistema de recogida de residuos y se comprometan a seguirlo.
1. **Necesidades**. Exponen qué más necesitarían saber o descubrir sobre esta idea o propuesta para poder evaluarla de forma más precisa. Algunos pueden pedir más información sobre qué tipos de residuos se pueden reciclar y cómo se hará la recogida, otros pueden pedir información sobre qué recursos se necesitarían para implementar este nuevo sistema, o bien pueden pedir ejemplos de otras escuelas que ya hayan implementado un sistema de recogida de residuos similar.
1. **Suggeriments**. Los estudiantes dan sus sugerencias o posiciones para avanzar con esta idea o propuesta y exponen cuál debe ser el paso siguiente para evaluarla. Algunos pueden decir que es necesario hacer una reunión con todos los estudiantes para explicarles el nuevo sistema de recogida de residuos y pedirles su compromiso para seguirlo. Otros pueden decir que es necesario hacer una encuesta para ver qué grado de conocimiento hay sobre reciclaje y cómo se podría mejorar.","opinión, análisis, toma de decisiones, comunicación, evaluación formativa","Procesamiento y Análisis de la información, Construcción de conocimiento, Evaluación Formativa y Feedback, Comunicación y Creatividad",,"Rutina que usa los puntos cardinales para analizar una idea: entusiasmo, obstáculos, necesidades y sugerencias. Sirve para valorar propuestas, organizar opiniones, detectar dudas y decidir pasos siguientes de forma estructurada."
La caja,"Esta técnica se conoce también con el nombre de **la maleta**.

## Objetivo

Conocer rasgos de personalidad característicos del alumnado que forma parte del grupo clase

## Desarrollo

- Un día el profesor o la profesora se presentan en la clase con una caja adornada de forma personalizada, con unos cuantos objetos dentro representativos de un rasgo de su personalidad: aficiones, habilidades, defectos, manías, etc. Los va sacando y los enseña a toda la clase, explicando qué representa cada objeto:
  - “esta tableta significa que me gusta mucho el chocolate, y, en general, todos los dulces”,
  - “este destornillador lo tengo porque lo necesito para arreglar las cosas que se estropean en casa”...

- A continuación invita al grupo a hacer lo mismo, indicándoles que un día tendrán que traer a clase su propia caja con “sus objetos” (tres o cuatro, los que se determinen). Ese día mostrarán los objetos a sus compañeros y compañeras y les explicarán qué significa, en el ámbito personal, cada uno.


Conclusiones

El hecho de dar a conocer algunos rasgos de nuestra personalidad genera confianza mutua y desarrolla la empatía.

Fuente: ECO. (2007). Dinámicas para hacer grupo.","cohesión de grupo, expresión personal, empatía, presentación oral","Cohesión y Cooperación, Comunicación y Creatividad",,"Dinámica de cohesión en la que el alumnado presenta objetos personales que representan rasgos propios. Sirve para favorecer el conocimiento mutuo, generar confianza, desarrollar empatía y mejorar la expresión personal."
La entrevista,"Esta técnica permite un conocimiento más profundo entre los compañeros y compañeras.

1. Se forman parejas o grupos de 3 de forma aleatoria (véase, por ejemplo, Grupos esporádicos con flippity).

1. En primer lugar, consensúan una entrevista sobre sus habilidades, aptitudes y defectos que les permita conocerse mejor entre ellos.

1. Después, por turnos, se hacen la entrevista unos a otros.

1. En la segunda fase, cada alumno escribe una frase que resuma cómo es su compañero.

1. Para finalizar cada alumno lee la frase al resto del grupo.

Adaptado de Pujolàs, P. & Lago, J. R. (2011). El programa CA/AC (“cooperar para aprender/aprender a cooperar”) para enseñar a aprender en equipo Implementación del aprendizaje cooperativo en el aula.","entrevista, conocimiento personal, parejas, comunicación, síntesis","Procesamiento y Análisis de la información, Cohesión y Cooperación",,"Técnica en la que el alumnado se entrevista por parejas o pequeños grupos y luego presenta una síntesis sobre el compañero. Sirve para mejorar el conocimiento interpersonal, la escucha, la comunicación y la cohesión del grupo."
